title,location,description,date
Conversation Circle for English Language Proficiency,Blocker Building,"
  Register Here: https://ers.tamu.edu/event/7534
  
  Facilitators: Maria Hernandez, CTE-ELP Student Worker


  Description: Conversation Circle is a supportive space for practicing spoken English through group discussions on cultural topics, including American university culture. Participants improve spontaneous speaking, active listening, and conversational turn-taking. Through communication with speakers from a variety backgrounds, they acclimate to different accents. The sessions promote social connections, intercultural dialogue, and a sense of belonging. The goal is to enhance English fluency, comprehension, and confidence.


  Learning Outcomes:


  Participants will be able to:


  Employ effective spontaneous communication skills in social, academic and professional settings
  
  Elaborate on their viewpoints and opinions in group discussions
  
  Construct clear and well-structured responses during impromptu conversations
  
  Apply appropriate turn-taking and active listening techniques in casual group discussions and more formal academic discussions
  
",October 4
Math Learning Center Tutoring,"Evans 204E, Evans Library",,October 4
Lap Pool,,,October 4
Welcome to Your Major: Make Up Session,Sbisa,"Make-up meeting for newly admitted ETAM students into the ETID department. Receive an orientation and overview, learn about available resources, set academic and professional expectations, and have questions answered.&#160;",October 4
ICF Open,,,October 4
Reserved,Mitchell Institute for Fundamental Physics &amp; Astronomy,,October 4
ELP Practice Group for Instructors Fall 2024 (Session 6): Asking Questions and Active Learning,Blocker Building,"Register Here: https://ers.tamu.edu/event/10752&#160;


  Facilitators: Ginessa Payne, Center for Teaching Excellence


  Description: Sixth in a series of workshops for international graduate students, faculty, post-docs, and visiting scholars. Use appropriate intonation contours. Communicate effectively in a “flipped classroom” by asking thought-provoking questions that are grammatically correct and also pronounced with correct intonation.


  Learning Outcomes:


  Distinguish lower-order thinking from higher-order thinking. Generate questions appropriate for college students. Pronounce wh- questions and yes/no questions with accurate grammar and appropriate intonation contours.
",October 4
Women’s Rugby - vs LSU,"Baton Rouge, LA, USA",,October 4
Singing Cadets Friday Football Concert,Memorial Student Center,"
  The FREE Friday Football Concert at 5:00 pm
",October 4
Singing Cadets Friday Football Concert,Memorial Student Center,"
  The FREE Friday Football Concert at 5:00 pm
",October 4
Penberthy North Hours,,,October 4
Omar Smith Tennis Center Hours,,,October 4
Crew - OCU Head of the Oklahoma,"Oklahoma City, OK, USA",,October 4
50 Meter,,,October 4
First Friday Downtown Bryan Shuttle 5:30PM - 10PM,,,October 4
First Friday Physics Demos,Downtown Bryan Texas,"
  First Friday Physics Demos in Downtown Bryan!&#160;
",October 4
Men’s Soccer vs. Corps of Cadets,"Penberthy Rec Sports Complex, Penberthy Blvd, College Station, TX 77840, USA",,October 4
Men’s Soccer vs. Corps of Cadets,"Penberthy Rec Sports Complex, Penberthy Blvd, College Station, TX 77840, USA",,October 4
Texas A&amp;M University Baseball vs HCU - Fall Exhibition - Free Admission,"Bryan-College Station, Blue Bell Park",,October 4
Texas A&amp;M University Baseball vs HCU - Fall Exhibition - Free Admission,"Bryan-College Station, Blue Bell Park",,October 4
Ice Hockey - @ ASU/GCU,"AZ Ice Arcadia, 3853 E Thomas Rd, Phoenix, AZ 85018, USA",,October 4
Texas A&amp;M University Soccer at Ole Miss,"Oxford, Miss, Ole Miss Soccer Stadium",,October 4
Texas A&amp;M University Soccer at Ole Miss,"Oxford, Miss, Ole Miss Soccer Stadium",,October 4
Fall Concert Series,Amphitheater in Aggie Park,,October 4
ALL POOLS CLOSED,,,October 5
Always a Bridesmaid,Unity Theatre,,October 5
Archery @ USA Archery Collegiate 3D Nationals,"Foley, AL, USA",,October 5
Bowling @ SWIBC I &amp; II,"Fort Worth, TX, USA",,October 5
CLOSED,,,October 5
CLOSED,,,October 5
CLOSED,,,October 5
CLOSED,,,October 5
CLOSED,,,October 5
CLOSED,,,October 5
Crew - OCU Head of the Oklahoma,"Oklahoma City, OK, USA",,October 5
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,October 5
Ice Hockey - @ ASU/GCU,"AZ Ice Arcadia, 3853 E Thomas Rd, Phoenix, AZ 85018, USA",,October 5
ICF Closed,,,October 5
Paddle the Colorado River | Fall Break Trip,,"
  Get out of town for the Fall break and enjoy a couple of nights on an island after paddling on a Texas river during the day. As temperatures begin cooling off, the river is a great way to take in the nicer weather. What’s more, you’ll be able to end each day of paddling with some excellent food, shared as a group around the campfire!
",October 5
Paddle the Colorado River | Fall Break Trip,,"
  Get out of town for the Fall break and enjoy a couple of nights on an island after paddling on a Texas river during the day. As temperatures begin cooling off, the river is a great way to take in the nicer weather. What’s more, you’ll be able to end each day of paddling with some excellent food, shared as a group around the campfire!
",October 5
Paddle the Colorado River | Fall Break Trip,,"
  Get out of town for the Fall break and enjoy a couple of nights on an island after paddling on a Texas river during the day. As temperatures begin cooling off, the river is a great way to take in the nicer weather. What’s more, you’ll be able to end each day of paddling with some excellent food, shared as a group around the campfire!
",October 5
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",October 5
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,October 5
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 5
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 5
RC Closed,,,October 5
School of Public Health Tailgate,,,October 5
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 5
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 5
Texas Family Support Group,Online Virtual Meeting for all of Texas,,October 5
The Importance of Being Earnest,"StageCenter Community Theatre, 218 N Bryan Ave, Bryan, TX 77803",,October 5
Transit Gameday Bus Service,Memorial Student Center,"
  Normal weekend service does not operate today.
",October 5
Women’s Rugby - vs LSU,"Baton Rouge, LA, USA",,October 5
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",October 5
Golf - Regional Tournament 1,"McKinney, TX, USA",,October 5
Trap and Skeet - Horns and Clays,"Austin, TX, USA",,October 5
HMGT Tailgate,The Gardens at Texas A&amp;M University,,October 5
College of Engineering Tailgate,Zachry Engineering Education Complex,"
  Get ready for game day and ignite your passion for innovation, technology and all things Aggie Engineering! Join us for a fun-filled experience for the whole family as we fill the floors of Zachry with refreshments, entertainment and hands-on activities from our engineering programs.
",October 5
Department of Animal Science Tailgate,"Kleberg Animal and Food Sciences Center, 474 Olsen Blvd., College Station","
  Mark your calendars and join the Department of Animal Science this fall as the Fightin’ Texas Aggies take on Missouri! This family friendly event will offer food, refreshments, games and fellowship.&#160;
",October 5
Department of Biological and Agricultural Engineering Tailgate,"Price Hobgood Building, 375 Olsen Blvd, College Station","
  Join us as we hold our annual Department of Biological and Agricultural Engineering Tailgate on Saturday, Oct. 5!
",October 5
Fig-toberfest,"Lakeside Park, 1234 Enchanted Oaks Drive, Angleton","
  The Texas A&amp;M AgriLife Extension Service in Brazoria County is hosting the first Fig-toberfest in Angleton.
",October 5
Burton Treasure Trail,Burton City and surrounding areas,,October 5
Men’s Volleyball - University of Texas Annual Michael Purgason Tournament,,,October 5
Men’s Ultimate - River Rat Showdown,,,October 5
Game Day Physics,Mitchell Physics Building,"
  Pre-game physics demos!&#160;
",October 5
Young Alumni Kickback,Clayton Williams Alumni Center,,October 5
Cooking with Friends,"4224 Cobbs Drive, Waco","
  The Texas A&amp;M AgriLife Extension Service office in McLennan County and McLennan Community College are hosting the Cooking with Friends cooking class in Waco.
",October 5
Fall Open House,"Texas A&amp;M University Higher Education Center at McAllen, 6200 Tres Lagos Blvd, McAllen, TX 78504",,October 5
Triathlon - Fort Worth Triathlon,"Fort Worth, TX, USA",,October 5
